stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\Tower\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12380] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12382] added dtor for sample_instance 0000000000EA0EB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12384] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12385] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12386] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12389] added dtor for sample_instance 0000000000EA4150, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12402] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12404] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12405] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12408] added dtor for sample_instance 0000000000EA4810, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12409] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12410] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12411] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12414] added dtor for sample_instance 0000000000EA2530, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12415] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12416] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12418] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12420] added dtor for sample_instance 0000000000EA1D50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12421] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12423] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12424] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12426] added dtor for sample_instance 0000000000EA4B70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12427] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12429] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12430] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12433] added dtor for sample_instance 0000000000EA1210, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12435] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12437] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12438] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12441] added dtor for sample_instance 0000000000EA1450, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12442] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12443] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12444] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12446] added dtor for sample_instance 0000000000EA2770, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12448] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12449] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12450] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12452] added dtor for sample_instance 0000000000EA2650, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12453] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12455] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12456] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12458] added dtor for sample_instance 0000000000EA21D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12459] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12460] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12462] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12464] added dtor for sample_instance 0000000000EA22F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12465] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12467] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12468] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12470] added dtor for sample_instance 0000000000EA2890, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12471] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12472] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12473] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12476] added dtor for sample_instance 0000000000EA4030, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12477] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12478] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12479] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12481] added dtor for sample_instance 0000000000EA46F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12483] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12484] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12485] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12487] added dtor for sample_instance 0000000000EA4FF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12489] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12491] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12492] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12494] added dtor for sample_instance 0000000000EA3610, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12496] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12497] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12498] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12500] added dtor for sample_instance 0000000000EA2BF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12502] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12503] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12504] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12506] added dtor for sample_instance 0000000000EA0C70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12507] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12509] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12510] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12512] added dtor for sample_instance 0000000000EA3DF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12513] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12514] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12515] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12518] added dtor for sample_instance 0000000000EA29B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12519] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12521] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12522] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12524] added dtor for sample_instance 0000000000EA2AD0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12526] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12527] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12528] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12530] added dtor for sample_instance 0000000000EA4DB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12532] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12533] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12534] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12536] added dtor for sample_instance 0000000000EA1C30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12538] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12539] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12540] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12542] added dtor for sample_instance 0000000000EA2E30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12544] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12545] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12546] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12548] added dtor for sample_instance 0000000000EA4390, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12550] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12551] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12552] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12554] added dtor for sample_instance 0000000000EA3730, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12556] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12557] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12558] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12561] added dtor for sample_instance 0000000000EA17B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12562] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12563] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12564] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12567] added dtor for sample_instance 0000000000EA44B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12568] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12569] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12570] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12573] added dtor for sample_instance 0000000000EA1B10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12574] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12575] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12577] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12579] added dtor for sample_instance 0000000000EA3190, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12580] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12582] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12583] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12585] added dtor for sample_instance 0000000000EA4270, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12587] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12588] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12589] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12591] added dtor for sample_instance 0000000000EA0D90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12593] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12594] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12595] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12597] added dtor for sample_instance 0000000000EA3970, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12600] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12601] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12602] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12604] added dtor for sample_instance 0000000000EA32B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12606] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12607] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12608] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12610] added dtor for sample_instance 0000000000EA4A50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12612] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12613] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12614] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12616] added dtor for sample_instance 0000000000EA33D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12618] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12619] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12620] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12623] added dtor for sample_instance 0000000000EA4ED0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12624] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12625] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12627] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12629] added dtor for sample_instance 0000000000EA1E70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12630] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12631] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12633] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12635] added dtor for sample_instance 0000000000EA34F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12636] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12637] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12639] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12641] added dtor for sample_instance 0000000000EA3850, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12643] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12644] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12645] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12647] added dtor for sample_instance 0000000000EA0FD0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12649] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12650] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12651] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12654] added dtor for sample_instance 0000000000EA10F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12655] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12656] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12657] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12660] added dtor for sample_instance 0000000000EA3A90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12661] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12662] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12664] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12666] added dtor for sample_instance 0000000000EA18D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12667] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12668] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12670] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12672] added dtor for sample_instance 0000000000EA1570, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12673] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12674] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12676] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12678] added dtor for sample_instance 0000000000EA19F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12679] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12680] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12682] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12687] added dtor for sample_instance 0000000000EAA920, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12689] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12690] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12691] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12693] added dtor for sample_instance 0000000000EABB20, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12695] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12696] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12697] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12699] added dtor for sample_instance 0000000000EAC660, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12701] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12703] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12704] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12706] added dtor for sample_instance 0000000000EAA800, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12707] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12709] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12710] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12712] added dtor for sample_instance 0000000000EAC0C0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12714] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12715] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12716] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12718] added dtor for sample_instance 0000000000EAE160, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12720] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12721] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12722] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12724] added dtor for sample_instance 0000000000EAE280, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12726] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12727] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12728] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12730] added dtor for sample_instance 0000000000EAB8E0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12732] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12733] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12734] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12737] added dtor for sample_instance 0000000000EAB6A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12738] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12739] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12741] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12743] added dtor for sample_instance 0000000000EAB7C0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12744] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12746] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12747] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12749] added dtor for sample_instance 0000000000EADBC0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12750] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12752] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12753] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12755] added dtor for sample_instance 0000000000EAC1E0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12757] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12758] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12759] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12761] added dtor for sample_instance 0000000000EAA260, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12763] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12764] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12765] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12768] added dtor for sample_instance 0000000000EAD740, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12769] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12770] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12772] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12774] added dtor for sample_instance 0000000000EAD1A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12775] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12777] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12778] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12780] added dtor for sample_instance 0000000000EAC8A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12782] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12783] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12784] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12786] added dtor for sample_instance 0000000000EAC780, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12788] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12789] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12790] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12793] added dtor for sample_instance 0000000000EAB580, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12794] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12795] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12797] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12799] added dtor for sample_instance 0000000000EAAEC0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12800] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12802] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12803] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12805] added dtor for sample_instance 0000000000EAC300, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12807] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12808] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12809] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12811] added dtor for sample_instance 0000000000EAA380, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12813] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12814] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12815] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12818] added dtor for sample_instance 0000000000EABA00, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12819] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12820] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12822] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12824] added dtor for sample_instance 0000000000EABC40, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12826] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12827] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12828] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12831] added dtor for sample_instance 0000000000EAB100, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12832] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12833] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12835] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12837] added dtor for sample_instance 0000000000EAE3A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12838] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12840] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12841] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12843] added dtor for sample_instance 0000000000EAB460, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12845] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12846] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12847] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12849] added dtor for sample_instance 0000000000EAD860, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12852] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12853] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12855] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12857] added dtor for sample_instance 0000000000EABD60, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12858] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12860] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12861] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12863] added dtor for sample_instance 0000000000EAD620, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12865] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12866] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12867] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.12869] added dtor for sample_instance 0000000000EADCE0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.12871] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.12872] 
